"filename", "language", "Dart", "comment", "blank", "total"
"d:\Documents\GitHub\Dogo\dogo_front\lib\Helpers\constants.dart", "Dart", 120, 0, 12, 132
"d:\Documents\GitHub\Dogo\dogo_front\lib\Helpers\location_picker.dart", "Dart", 224, 6, 33, 263
"d:\Documents\GitHub\Dogo\dogo_front\lib\authentication\auth_screen.dart", "Dart", 106, 1, 7, 114
"d:\Documents\GitHub\Dogo\dogo_front\lib\authentication\login_screen.dart", "Dart", 129, 0, 7, 136
"d:\Documents\GitHub\Dogo\dogo_front\lib\authentication\register_screen.dart", "Dart", 470, 9, 25, 504
"d:\Documents\GitHub\Dogo\dogo_front\lib\entities\address.dart", "Dart", 38, 0, 5, 43
"d:\Documents\GitHub\Dogo\dogo_front\lib\entities\person.dart", "Dart", 42, 0, 8, 50
"d:\Documents\GitHub\Dogo\dogo_front\lib\entities\pet.dart", "Dart", 46, 0, 8, 54
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services.dart", "Dart", 658, 88, 26, 772
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\Walker\agenda.dart", "Dart", 24, 0, 4, 28
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\Walker\preferences.dart", "Dart", 24, 0, 4, 28
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\Walker\search.dart", "Dart", 24, 0, 4, 28
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\owner_screens\appointments.dart", "Dart", 312, 2, 25, 339
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\owner_screens\pets\pets.dart", "Dart", 202, 1, 14, 217
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\owner_screens\pets\update_or_create_pet.dart", "Dart", 484, 1, 37, 522
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\owner_screens\schedules\schedule.dart", "Dart", 6, 0, 2, 8
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\owner_screens\schedules\schedule_salon.dart", "Dart", 452, 2, 19, 473
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\owner_screens\schedules\schedule_shopping.dart", "Dart", 225, 2, 17, 244
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\owner_screens\schedules\schedule_sitting.dart", "Dart", 408, 2, 18, 428
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\owner_screens\schedules\schedule_vet.dart", "Dart", 452, 2, 19, 473
"d:\Documents\GitHub\Dogo\dogo_front\lib\home\services\owner_screens\schedules\schedule_walk.dart", "Dart", 351, 0, 17, 368
"d:\Documents\GitHub\Dogo\dogo_front\lib\main.dart", "Dart", 15, 0, 3, 18
"d:\Documents\GitHub\Dogo\dogo_front\lib\settings\profile_view.dart", "Dart", 216, 1, 15, 232
"Total", "-", 5028, 117, 329, 5474
